(cur prev) 00:03, 10 April 2019 . . Arunkumar (talk | contribs) edited the description . . (+883)‎ undo
(cur prev	topic) 09:13, 14 March 2019 . . Kamalakar (talk | contribs) commented on "Exam Expected Questions Page" (Dear all, I have Created a Page called Exam Expected Questions. If some one wants to add Kindly post your Expected questions there) . . (+131)‎ hidedelete
(cur prev	topic) 06:59, 14 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Regarding Snake and Ladder game...." . . (+14)‎ hidedelete
(cur prev	topic) 06:58, 14 March 2019 . . Arunkumar (talk | contribs) commented on "Regarding Snake and Ladder game...." (@Ravisankar.vangala, Please don't mind. I can really see a snake in your program. :D) . . (+90)‎ hidedelete
(cur prev	topic) 06:55, 14 March 2019 . . Arunkumar (talk | contribs) changed the topic title from "Few hints for Week 7 Assignments 1 and 2." to "Few hints for all Week 7 Assignments." . . (-4)‎ resolve hidedelete
(cur prev	topic) 06:54, 14 March 2019 . . Arunkumar (talk | contribs) changed the topic title from "A hint for Week 7 Assignments 1 and 2." to "Few hints for Week 7 Assignments 1 and 2." . . (+3)‎ resolve hidedelete
(cur prev	topic) 06:53, 14 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+554)‎ hidedelete
(cur prev	topic) 06:41, 14 March 2019 . . Arunkumar (talk | contribs) commented on "Few hints for all Week 7 Assignments." (@Kamalakar, Exactly!) . . (+26)‎ hidedelete
(cur prev	topic) 05:06, 14 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (While yo compile it shows the actual output and expected output.By that you can make out the difference. Arun's answer might have solved...) . . (+193)‎ hidedelete
(cur prev	topic) 03:38, 14 March 2019 . . Kamalakar (talk | contribs) commented on "Few hints for all Week 7 Assignments." (Symmetric Matrix means Matrix A and its Transpose are same.) . . (+59)‎ hidedelete
(cur prev	topic) 19:08, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (0)‎ hidedelete
(cur prev	topic) 19:07, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (-1)‎ hidedelete
(cur prev	topic) 19:07, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+8)‎ hidedelete
(cur prev	topic) 19:06, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+1)‎ hidedelete
(cur prev	topic) 19:06, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (-2)‎ hidedelete
(cur prev	topic) 19:06, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (-2)‎ hidedelete
(cur prev	topic) 19:05, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+1)‎ hidedelete
(cur prev	topic) 19:05, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (-2)‎ hidedelete
(cur prev	topic) 19:04, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+5)‎ hidedelete
(cur prev	topic) 19:03, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+13)‎ hidedelete
(cur prev	topic) 19:02, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+136)‎ hidedelete
(cur prev	topic) 18:56, 13 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (You can refer to this old discussion, from week 4, on how to remove trailing spaces http://sccilabs.org/jocwiki/index.php/Topic:Uun3hur...) . . (+146)‎ hidedelete
(cur prev	topic) 18:52, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (0)‎ hidedelete
(cur prev	topic) 18:52, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (+43)‎ hidedelete
(cur prev	topic) 18:51, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (+96)‎ hidedelete
(cur prev	topic) 18:43, 13 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (Another problem could be, there is a space at the end of every row in your output. 1 2 3 4 5 6 9 8 7 8 0 2 3 4 5 6 9 8 7 8 0 0 3 4 5...) . . (+307)‎ hidedelete
(cur prev	topic) 18:36, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (+1)‎ hidedelete
(cur prev	topic) 18:36, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (-1)‎ hidedelete
(cur prev	topic) 18:35, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Week 7 Programming Assignment-1: Upper Triangular Matrix" . . (+17)‎ hidedelete
(cur prev	topic) 18:35, 13 March 2019 . . Arunkumar (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (Yes, you code is working fine. I believe your logic is correct. So, lets not touch bottom half (bottom 2 for loops, used to add zeros, an...) . . (+545)‎ hidedelete
(cur prev	topic) 18:07, 13 March 2019 . . Arunkumar (talk | contribs) edited a comment on "Few hints for all Week 7 Assignments." . . (+9)‎ hidedelete
(cur prev	topic) 18:07, 13 March 2019 . . Arunkumar (talk | contribs) commented on "Few hints for all Week 7 Assignments." (If you can Solve Assignment 1, It is very easy to solve Assignment 2. Both use same logic "Diagonal") . . (+110)‎ hidedelete
(cur prev	topic) 12:46, 13 March 2019 . . Shitalp (talk | contribs) commented on "Week 7 Programming Assignment-1: Upper Triangular Matrix" (if i execute my program in my spider software it execute correctly but when i compile it in submission page it gives wrong output. Can an...) . . (+585)‎ hidedelete
(cur prev	topic) 07:40, 13 March 2019 . . Kamalakar (talk | contribs) commented on "Regarding Snake and Ladder game...." (Dear Ravi Shankar Garu, Since you are working as a Head of Statistics department in the college, you might have seen so many NPTEL exams....) . . (+322)‎ hidedelete
(cur prev	topic) 07:21, 13 March 2019 . . Kamalakar (talk | contribs) commented on "Your user page" (you have already created/filled your page) . . (+41)‎ hidedelete
(cur prev	topic) 07:19, 13 March 2019 . . Kamalakar (talk | contribs) commented on "Regarding Snake and Ladder game...." (Great. Ravi Shankar. kindly correct this line of code from c=input('Press 1 to Continue, 0 to Quit: ') to c=int(input('Press 1 to Co...) . . (+272)‎ hidedelete
(cur prev	topic) 05:02, 13 March 2019 . . Ravisankar.vangala (talk | contribs) commented on "Your user page" (How to create User Page?) . . (+24)‎ hidedelete
(cur prev	topic) 04:29, 13 March 2019 . . Ravisankar.vangala (talk | contribs) commented on "Regarding Snake and Ladder game...." (Hello, In snake and ladder game i am unable to quit in the middle. Here i am posting my code. can you please identify where is the e...) . . (+3,253)‎ hidedelete
(cur prev	topic) 04:05, 13 March 2019 . . Kamalakar (talk | contribs) commented on "Final Exam Expected Question Paper" (3x3 magic square is nothing. But i really had fun calculating the numbers in 7X7 magic square manually and verifying them with what is gi...) . . (+216)‎ hidedelete
(cur prev	topic) 03:58, 13 March 2019 . . Descentis (talk | contribs) edited a comment on "Your user page" . . (-8)‎ hidedelete
(cur prev	topic) 03:58, 13 March 2019 . . Descentis (talk | contribs) commented on "Your user page" (People, kindly create your user page. We will soon be evaluating you people based on their contribution and performance for the internshi...) . . (+232)‎ hidedelete
(cur prev	topic) 03:54, 13 March 2019 . . Descentis (talk | contribs) commented on "Tic-Tac-Toe game....Sir,I have written a code for the mentioned tic-tac-toe game...will you kindly comment on how to increase the efficiency and reduce the size of the program ? Please give reviews on how the code works. Thank you." (Did you watch the video?) . . (+24)‎ hidedelete
(cur prev	topic) 03:53, 13 March 2019 . . Descentis (talk | contribs) commented on "Final Exam Expected Question Paper" (Hehe... it's nice to see such discussion :-)) . . (+44)‎ hidedelete
(cur prev	topic) 22:08, 12 March 2019 . . Kamalakar (talk | contribs) commented on "Final Exam Expected Question Paper" (For final exam practice magic square of 7. solution is given in Week 4 lecture notes. I am expecting questions on Spiral, recursive funct...) . . (+157)‎ hidedelete
(cur prev	topic) 20:44, 12 March 2019 . . Kamalakar (talk | contribs) commented on "Final Exam Expected Question Paper" (Has any one written any NPTEL exam before. if so how many sections will be there. and what are the marks for each question in each sectio...) . . (+192)‎ hidedelete
(cur prev	topic) 20:43, 12 March 2019 . . Kamalakar (talk | contribs) deleted a comment on "Final Exam Expected Question Paper" (In appropriate in this thread) . . (-61)‎ undelete
(cur prev) 17:19, 12 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+79)‎ undo
(cur prev	topic) 17:14, 12 March 2019 . . Arunkumar (talk | contribs) edited a comment on "spiral traversing week 7" . . (+38)‎ hidedelete
(cur prev	topic) 17:12, 12 March 2019 . . Arunkumar (talk | contribs) commented on "spiral traversing week 7" (Please try to upgrade you python. few things are changed after 3.5 version too. So, please visit the official website and download or ins...) . . (+181)‎ hidedelete
(cur prev	topic) 16:55, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (3.3) . . (+3)‎ hidedelete
(cur prev	topic) 15:06, 12 March 2019 . . Arunkumar (talk | contribs) commented on "spiral traversing week 7" (Which version of python are you using?) . . (+38)‎ hidedelete
(cur prev	topic) 14:42, 12 March 2019 . . Sabya23sachi (talk | contribs) commented on "Tic-Tac-Toe game....Sir,I have written a code for the mentioned tic-tac-toe game...will you kindly comment on how to increase the efficiency and reduce the size of the program ? Please give reviews on how the code works. Thank you." (-*- coding: utf-8 -*- """ Created on Tue Mar 12 19:37:15 2019 @author: sabya """ l=[] k=[] for i in range(3): k = [] for j in ra...) . . (+3,261)‎ hidedelete
(cur prev	topic) 13:49, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (end=" "...was giving problem i solved the problem by importing (from __future__ import print_function)) . . (+102)‎ hidedelete
(cur prev	topic) 13:34, 12 March 2019 . . Kamalakar (talk | contribs) commented on "spiral traversing week 7" (I didnot get any syntax error in what arun has given. What error you are getting.) . . (+81)‎ hidedelete
(cur prev	topic) 13:28, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (this is showing error..its not working) . . (+38)‎ hidedelete
(cur prev	topic) 12:25, 12 March 2019 . . Arunkumar (talk | contribs) edited a comment on "spiral traversing week 7" . . (-52)‎ hidedelete
(cur prev	topic) 12:25, 12 March 2019 . . Arunkumar (talk | contribs) edited a comment on "spiral traversing week 7" . . (-17)‎ hidedelete
(cur prev	topic) 12:24, 12 March 2019 . . Arunkumar (talk | contribs) commented on "spiral traversing week 7" (def spiral(m, n, a): #a is matrix, m, n are no of rows and col resp k=0; l=0 #k and l are index of rows and col while(k<m...) . . (+981)‎ hidedelete
(cur prev	topic) 11:06, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (semicolon r not required in python) . . (+34)‎ hidedelete
(cur prev	topic) 10:39, 12 March 2019 . . Sudha Verma (talk | contribs) deleted a comment on "spiral traversing week 7" (no need) . . (-17)‎ undelete
(cur prev	topic) 10:39, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (File "C:/Users/Sudharma Verma/.spyder/spiral_traversing.py", line 15 print(a[k][i],end=" ") ^ SyntaxError: invali...) . . (+147)‎ hidedelete
(cur prev	topic) 10:39, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (this is also not working) . . (+24)‎ hidedelete
(cur prev	topic) 10:37, 12 March 2019 . . Sudha Verma (talk | contribs) deleted a comment on "spiral traversing week 7" (no) . . (-147)‎ undelete
(cur prev	topic) 10:36, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (this is the error) . . (+17)‎ 
(cur prev	topic) 10:36, 12 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (File "C:/Users/Sudharma Verma/.spyder/spiral_traversing.py", line 15 print(a[k][i],end=" ") ^ SyntaxError: invali...) . . (+147)‎ 
(cur prev	topic) 09:31, 12 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (when i gave n=3 and m=2,started giving the inputs, your program failed introduce a print(a) command below these lines R,C=map(int,input()...) . . (+408)‎ hidedelete
(cur prev	topic) 09:15, 12 March 2019 . . Bhavansh (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (No I couldn't solve the problem) . . (+31)‎ hidedelete
(cur prev	topic) 08:53, 12 March 2019 . . Kamalakar (talk | contribs) commented on "Final Exam Expected Question Paper" (Received your code in email.. Were you able to fix your code.) . . (+61)‎ 
(cur prev	topic) 08:05, 12 March 2019 . . Bhavansh (talk | contribs) commented on "Final Exam Expected Question Paper" (Will it be a complete McQ online paper, or will it have some basic coding,or theory questions also?) . . (+99)‎ hidedelete
(cur prev	topic) 05:45, 12 March 2019 . . Kamalakar (talk | contribs) commented on "Final Exam Expected Question Paper" (Dear all, We are half way through the course. It is clear that we will not do any programming in the final exam. So what are the question...) . . (+590)‎ hidedelete
(cur prev	topic) 18:42, 11 March 2019 . . Kamalakar (talk | contribs) commented on "spiral traversing week 7" (I have defined below the function m=4,n=4 and while calling spiral i called it as spiral(m,n,a).it printed the following values 1 2 3 4 8...) . . (+194)‎ hidedelete
(cur prev	topic) 18:32, 11 March 2019 . . Kamalakar (talk | contribs) commented on "spiral traversing week 7" (kindly post the syntax error along with the line number) . . (+55)‎ hidedelete
(cur prev	topic) 17:42, 11 March 2019 . . Sudha Verma (talk | contribs) commented on "spiral traversing week 7" (def spiral(m,n,a): k=0 l=0 #a is matrix,m,n are no of rows and col resp while(k<m and l<n): #printing...) . . (+1,008)‎ hidedelete
(cur prev	topic) 15:13, 11 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (Bhavansh kindly give me some reference in how to understand writting the code in one line like what you did in this example.) . . (+124)‎ hidedelete
(cur prev	topic) 15:12, 11 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (In all public cases they have given N=M Since two variables are defined, they might have given a case where n!=m so kindly check the loop...) . . (+579)‎ hidedelete
(cur prev	topic) 14:53, 11 March 2019 . . Kamalakar (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (your code is highly complicated for a beginner like me in python. in definition of function you have defined mat and in the function you...) . . (+209)‎ hidedelete
(cur prev	topic) 14:17, 11 March 2019 . . Bhavansh (talk | contribs) commented on "Week 7 assignment 3 binary matrix doubr" (I did the code and passed all test but got only 66.66% in hidden tests. R,C=map(int,input().split(" ")) a = [[0]*R for _ in range(C)] f...) . . (+498)‎ hidedelete
(cur prev) 11:41, 11 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+56)‎ undo
(cur prev) 11:40, 11 March 2019 . . Arunkumar (talk | contribs) edited the description . . (+3)‎ undo
(cur prev) 11:40, 11 March 2019 . . Arunkumar (talk | contribs) edited the description . . (-3)‎ undo
(cur prev) 11:39, 11 March 2019 . . Arunkumar (talk | contribs) created the description . . (+2,960)‎ 
